print_page,year,word_count,gender,,,,,,,,,,,,,,,,,
24,1996,253,male,,,,,,,,,,,,,,,,,
10,1996,416,male,,,,,,,,,,,,,,,,,
27,1996,185,male,,,,,,,,,,,,,,,,,
21,1996,359,male,,,,,,,,,,,,,,,,,
10,1996,564,male,,,,,,,,,,,,,,,,,
45,1996,801,male,,,,,,,,,,,,,,,,,
24,1996,1239,male,,,,,,,,,,,,,,,,,
11,1996,241,male,,,,,,,,,,,,,,,,,
22,1996,783,female,,,,,,,,,,,,,,,,,
9,1996,1440,male,,,,,,,,,,,,,,,,,
45,1996,1152,male,,,,,,,,,,,,,,,,,
7,1996,625,female,,,,,,,,,,,,,,,,,
25,1996,274,male,,,,,,,,,,,,,,,,,
50,1996,136,female,,,,,,,,,,,,,,,,,
47,1996,531,male,,,,,,,,,,,,,,,,,
9,1996,862,male,,,,,,,,,,,,,,,,,
9,1996,243,female,,,,,,,,,,,,,,,,,
19,1996,510,male,,,,,,,,,,,,,,,,,
23,1996,388,male,,,,,,,,,,,,,,,,,
18,1996,480,male,,,,,,,,,,,,,,,,,
7,1996,241,male,,,,,,,,,,,,,,,,,
31,1996,250,male,,,,,,,,,,,,,,,,,
9,1996,352,female,,,,,,,,,,,,,,,,,
30,1996,227,male,,,,,,,,,,,,,,,,,
21,1996,231,male,,,,,,,,,,,,,,,,,
19,1996,386,male,,,,,,,,,,,,,,,,,
58,1996,195,male,,,,,,,,,,,,,,,,,
12,1996,191,male,,,,,,,,,,,,,,,,,
47,1996,646,male,,,,,,,,,,,,,,,,,
15,1996,328,female,,,,,,,,,,,,,,,,,
16,1996,501,female,,,,,,,,,,,,,,,,,
12,1996,725,male,,,,,,,,,,,,,,,,,
10,1996,216,male,,,,,,,,,,,,,,,,,
19,1996,276,male,,,,,,,,,,,,,,,,,
25,1996,453,male,,,,,,,,,,,,,,,,,
7,1996,112,male,,,,,,,,,,,,,,,,,
13,1996,209,male,,,,,,,,,,,,,,,,,
36,1996,809,female,,,,,,,,,,,,,,,,,
36,1996,144,male,,,,,,,,,,,,,,,,,
57,1996,421,male,,,,,,,,,,,,,,,,,
28,1996,580,male,,,,,,,,,,,,,,,,,
12,1996,142,male,,,,,,,,,,,,,,,,,
27,1996,992,female,,,,,,,,,,,,,,,,,
12,1996,266,male,,,,,,,,,,,,,,,,,
20,1996,594,female,,,,,,,,,,,,,,,,,
52,1996,816,female,,,,,,,,,,,,,,,,,
39,1996,242,male,,,,,,,,,,,,,,,,,
14,1996,711,male,,,,,,,,,,,,,,,,,
8,1996,430,male,,,,,,,,,,,,,,,,,
7,1996,305,female,,,,,,,,,,,,,,,,,
21,1996,742,male,,,,,,,,,,,,,,,,,
46,1996,656,male,,,,,,,,,,,,,,,,,
24,1996,363,male,,,,,,,,,,,,,,,,,
52,1996,545,male,,,,,,,,,,,,,,,,,
45,1996,231,female,,,,,,,,,,,,,,,,,
20,1996,495,male,,,,,,,,,,,,,,,,,
20,1996,231,male,,,,,,,,,,,,,,,,,
10,1996,332,female,,,,,,,,,,,,,,,,,
19,1996,341,male,,,,,,,,,,,,,,,,,
8,1996,171,male,,,,,,,,,,,,,,,,,
15,1996,369,male,,,,,,,,,,,,,,,,,
19,1996,477,female,,,,,,,,,,,,,,,,,
47,1996,312,male,,,,,,,,,,,,,,,,,
24,1996,535,female,,,,,,,,,,,,,,,,,
23,1996,574,male,,,,,,,,,,,,,,,,,
7,1996,1029,male,,,,,,,,,,,,,,,,,
46,1996,419,male,,,,,,,,,,,,,,,,,
7,1996,1161,female,,,,,,,,,,,,,,,,,
26,1996,167,female,,,,,,,,,,,,,,,,,
21,1996,399,male,,,,,,,,,,,,,,,,,
30,1996,930,male,,,,,,,,,,,,,,,,,
47,1996,216,male,,,,,,,,,,,,,,,,,
23,1996,339,male,,,,,,,,,,,,,,,,,
45,1996,286,male,,,,,,,,,,,,,,,,,
52,1996,1233,male,,,,,,,,,,,,,,,,,
23,1996,645,male,,,,,,,,,,,,,,,,,
9,1996,202,female,,,,,,,,,,,,,,,,,
21,1996,336,male,,,,,,,,,,,,,,,,,
7,1996,507,male,,,,,,,,,,,,,,,,,
7,1996,515,male,,,,,,,,,,,,,,,,,
7,1996,165,male,,,,,,,,,,,,,,,,,
10,1996,839,male,,,,,,,,,,,,,,,,,
10,1996,447,male,,,,,,,,,,,,,,,,,
48,1996,256,male,,,,,,,,,,,,,,,,,
38,1996,394,male,,,,,,,,,,,,,,,,,
9,1996,169,male,,,,,,,,,,,,,,,,,
23,1996,287,male,,,,,,,,,,,,,,,,,
19,1996,601,male,,,,,,,,,,,,,,,,,
33,1996,866,male,,,,,,,,,,,,,,,,,
10,1996,156,male,,,,,,,,,,,,,,,,,
27,1996,252,male,,,,,,,,,,,,,,,,,
24,1996,298,male,,,,,,,,,,,,,,,,,
7,1996,297,female,,,,,,,,,,,,,,,,,
29,1996,1323,male,,,,,,,,,,,,,,,,,
